case;event;time;Resource
0;0;09.10.2012-14:50:17;0
0;1;09.10.2012-14:51:01;0
0;1;12.10.2012-15:02:56;1
0;2;25.10.2012-11:54:26;0
0;3;09.11.2012-12:54:39;2
1;0;03.04.2012-08:55:38;3
1;1;03.04.2012-08:55:53;3
1;2;05.04.2012-09:15:52;3
1;3;19.05.2012-09:00:28;4
2;0;29.10.2010-10:14:06;5
2;1;03.11.2010-16:16:11;6
2;2;03.11.2010-16:21:17;6
2;3;30.11.2010-11:20:18;4
3;0;15.12.2010-14:31:53;7
3;1;16.12.2010-08:01:07;1
3;2;16.12.2010-08:08:19;1
3;3;12.02.2011-14:40:42;4
4;0;03.04.2012-13:08:32;8
4;1;03.04.2012-13:45:33;9
4;2;03.04.2012-13:47:22;9
4;1;03.04.2012-14:15:02;9
4;2;03.04.2012-16:07:28;9
4;3;25.05.2012-13:10:28;4
5;0;25.10.2011-15:13:58;1
5;1;25.10.2011-15:58:55;1
5;2;26.10.2011-09:54:46;1
5;3;10.12.2011-16:20:56;4
6;0;06.11.2013-10:47:35;0
6;0;06.11.2013-10:48:53;0
6;0;22.11.2013-08:00:08;1
6;1;25.11.2013-08:18:07;10
6;2;25.11.2013-08:57:19;10
6;3;10.12.2013-08:57:37;2
7;0;05.07.2012-08:30:32;0
7;1;05.07.2012-09:25:45;5
7;2;05.07.2012-09:44:46;5
7;3;02.09.2012-08:40:27;4
8;4;07.05.2010-13:02:21;11
8;0;07.05.2010-13:02:34;11
8;1;24.05.2010-10:26:28;5
8;2;25.05.2010-15:35:44;11
8;3;09.06.2010-15:35:56;4
9;0;10.02.2010-08:50:20;1
9;1;19.03.2010-08:47:06;1
9;2;19.03.2010-08:47:13;1
9;3;03.04.2010-07:47:38;4
10;0;21.12.2011-15:24:41;3
10;1;21.12.2011-15:25:34;3
10;2;22.12.2011-09:55:43;3
10;3;21.01.2012-15:30:31;4
11;0;18.03.2013-10:47:34;3
11;1;18.03.2013-15:03:49;1
11;2;03.04.2013-07:13:38;1
11;3;18.04.2013-07:13:53;2
12;0;17.12.2012-09:47:49;3
12;1;02.01.2013-09:22:43;3
12;2;04.01.2013-10:29:36;3
12;3;19.01.2013-10:29:51;2
13;0;05.07.2011-13:47:08;12
13;1;05.07.2011-13:47:22;12
13;2;05.07.2011-13:52:37;12
13;3;05.08.2011-13:50:21;4
14;0;20.02.2013-09:58:27;1
14;0;08.03.2013-08:25:42;1
14;1;08.03.2013-08:30:43;8
14;2;08.03.2013-08:34:08;8
14;3;23.03.2013-08:34:25;2
15;0;22.02.2012-14:16:52;0
15;1;22.02.2012-16:14:07;8
15;1;22.02.2012-16:23:57;0
15;2;23.02.2012-09:47:38;8
15;3;24.03.2012-14:20:19;4
16;0;14.10.2011-07:10:47;0
16;1;02.11.2011-16:17:52;1
16;2;09.11.2011-13:31:37;1
16;3;24.11.2011-15:57:55;4
17;0;01.03.2013-16:06:11;0
17;1;18.03.2013-14:04:03;0
17;2;19.03.2013-10:22:40;0
17;2;19.03.2013-10:22:40;0
17;3;03.04.2013-09:23:01;2
18;0;07.07.2010-07:54:04;1
18;1;09.07.2010-10:10:52;6
18;2;09.07.2010-10:11:18;6
18;3;07.08.2010-08:00:22;4
19;0;09.05.2013-07:10:37;13
19;1;04.06.2013-13:33:01;8
19;5;10.06.2013-09:06:43;8
19;2;19.06.2013-09:12:02;8
19;3;04.07.2013-09:12:15;2
20;0;14.01.2011-15:15:21;7
20;1;27.01.2011-08:06:37;1
20;2;27.01.2011-10:19:15;1
20;3;26.02.2011-10:19:37;4
21;0;23.07.2012-07:49:04;0
21;1;23.07.2012-07:49:14;0
21;5;23.07.2012-08:51:59;0
21;2;27.08.2012-10:05:23;0
21;3;11.09.2012-10:05:33;2
22;0;19.12.2012-16:33:23;12
22;1;03.01.2013-08:26:14;1
22;2;22.01.2013-15:50:53;0
22;3;06.02.2013-15:51:06;2
23;0;27.04.2010-09:49:56;1
23;1;08.06.2010-11:06:56;1
23;2;08.06.2010-14:46:16;1
23;3;23.06.2010-14:46:28;4
24;0;30.12.2010-09:27:17;12
24;1;30.12.2010-13:14:04;1
24;2;30.12.2010-15:16:35;1
24;3;16.02.2011-09:30:28;4
25;0;31.03.2011-07:28:47;1
25;1;31.03.2011-07:31:59;1
25;5;31.03.2011-08:39:41;1
25;1;31.03.2011-11:00:28;1
25;2;31.03.2011-11:00:41;1
25;3;05.05.2011-09:50:46;4
26;0;24.11.2011-14:02:16;0
26;1;24.11.2011-14:02:35;0
26;2;12.12.2011-09:04:47;12
26;3;27.12.2011-09:05:04;4
27;0;25.10.2013-15:53:59;8
27;1;25.10.2013-15:54:05;8
27;6;25.10.2013-15:54:12;8
27;7;25.10.2013-15:54:23;8
27;7;14.11.2013-15:55:48;0
27;2;23.12.2013-08:08:05;0
28;0;30.07.2012-10:07:32;0
28;1;30.07.2012-10:07:40;0
28;2;30.07.2012-12:29:40;0
28;3;14.09.2012-10:10:38;4
29;0;21.01.2011-09:47:20;1
29;1;07.02.2011-09:19:45;1
29;2;10.02.2011-09:01:20;1
29;3;25.02.2011-09:01:35;4
30;0;15.04.2013-12:41:20;3
30;1;18.04.2013-07:06:11;8
30;6;18.04.2013-07:18:02;8
30;7;18.04.2013-07:18:23;8
30;2;15.05.2013-13:30:39;8
30;3;30.05.2013-13:31:00;2
31;0;27.04.2011-07:38:44;7
31;1;27.04.2011-12:46:13;7
31;2;28.04.2011-08:18:08;1
31;3;04.06.2011-07:40:30;4
32;0;29.04.2013-13:22:48;13
32;1;14.05.2013-14:53:46;13
32;2;15.05.2013-10:19:05;13
32;3;30.05.2013-10:19:20;2
33;0;11.06.2013-13:56:40;13
33;1;25.06.2013-10:42:45;13
33;5;25.06.2013-10:43:50;13
33;5;26.06.2013-13:27:04;8
33;2;05.07.2013-10:18:32;8
33;3;20.07.2013-10:18:42;2
34;0;18.01.2012-08:15:30;0
34;2;18.01.2012-09:46:37;0
34;3;10.03.2012-08:20:43;4
35;0;29.06.2011-10:06:48;1
35;1;30.06.2011-12:58:23;5
35;2;05.07.2011-07:32:43;5
35;3;30.07.2011-10:10:20;4
36;0;10.02.2011-11:13:07;7
36;1;10.02.2011-11:13:33;7
36;2;10.02.2011-15:20:02;8
36;2;02.03.2011-13:23:58;1
36;1;02.03.2011-13:24:07;1
36;5;02.03.2011-15:27:52;1
36;1;04.03.2011-09:37:50;1
36;2;04.03.2011-09:37:55;1
36;3;03.04.2011-08:38:21;4
37;0;20.03.2012-07:57:45;3
37;1;20.03.2012-07:58:15;3
37;2;20.03.2012-08:18:56;3
37;3;21.04.2012-16:00:36;4
38;0;29.08.2013-11:05:59;13
38;1;11.09.2013-12:57:48;1
38;5;12.09.2013-09:46:36;3
38;2;27.09.2013-09:50:58;3
38;3;12.10.2013-09:51:11;2
39;0;09.08.2012-12:13:03;3
39;1;09.08.2012-12:13:29;3
39;2;09.08.2012-12:46:00;12
39;3;12.09.2012-12:20:25;4
40;0;14.12.2010-10:44:26;13
40;1;14.12.2010-10:44:57;13
40;2;14.12.2010-10:45:12;13
40;3;27.01.2011-10:50:31;4
41;0;16.06.2011-12:23:39;7
41;1;16.06.2011-12:51:05;7
41;2;16.06.2011-13:39:51;7
41;3;30.07.2011-12:30:33;4
42;0;10.04.2012-08:56:32;0
42;1;10.04.2012-09:27:27;3
42;2;10.04.2012-10:53:28;3
42;3;26.05.2012-09:00:20;4
43;0;29.11.2010-16:09:19;1
43;1;29.11.2010-16:19:59;1
43;2;29.11.2010-16:20:51;1
43;3;31.12.2010-16:10:28;4
44;0;20.01.2012-14:08:14;8
44;1;25.01.2012-11:46:19;8
44;2;02.03.2012-10:40:59;8
44;3;17.03.2012-10:41:18;4
45;0;14.11.2012-14:33:17;0
45;1;15.11.2012-13:33:28;1
45;1;15.11.2012-13:33:59;11
45;5;16.11.2012-11:37:21;11
45;2;14.12.2012-14:20:49;11
45;3;29.12.2012-14:21:03;2
46;0;25.05.2011-09:48:18;7
46;1;25.05.2011-09:48:43;7
46;2;30.05.2011-15:04:34;14
46;3;01.07.2011-09:50:37;4
47;4;01.12.2010-13:42:59;11
47;0;02.12.2010-14:07:33;1
47;1;02.12.2010-14:07:41;1
47;2;02.12.2010-14:08:33;1
47;3;01.01.2011-14:08:51;4
48;0;25.11.2011-14:33:54;1
48;1;25.11.2011-14:47:48;1
48;5;29.11.2011-14:47:35;1
48;2;02.12.2011-16:25:57;1
48;3;07.01.2012-16:20:26;4
49;0;16.01.2012-10:53:01;3
49;1;16.01.2012-10:59:51;3
49;2;16.01.2012-16:37:54;3
49;2;16.01.2012-16:37:55;3
49;3;16.02.2012-11:00:57;4
50;0;13.06.2012-13:55:36;3
50;1;14.06.2012-07:07:06;3
50;5;15.06.2012-07:16:27;9
50;2;02.07.2012-09:41:04;9
50;3;18.07.2012-07:30:21;4
51;0;26.07.2012-15:18:26;12
51;1;26.07.2012-15:18:35;12
51;2;27.07.2012-10:46:28;12
51;3;12.09.2012-15:20:55;4
52;0;14.10.2010-13:53:13;1
52;1;15.10.2010-13:02:36;13
52;5;28.10.2010-15:12:55;11
52;5;28.10.2010-15:12:55;11
52;1;29.10.2010-13:42:01;11
52;2;04.11.2010-08:48:12;1
52;3;04.12.2010-08:48:57;4
53;0;07.11.2013-08:20:59;0
53;1;29.11.2013-09:10:50;1
53;2;02.12.2013-16:14:22;1
53;3;17.12.2013-16:14:40;2
54;0;26.10.2011-15:51:42;3
54;1;31.10.2011-15:19:03;8
54;5;07.11.2011-08:44:52;8
54;2;21.11.2011-08:21:23;8
54;3;06.12.2011-08:21:36;4
55;0;30.01.2012-11:32:58;1
55;2;30.01.2012-11:33:23;1
55;3;14.03.2012-11:40:25;4
56;0;29.10.2010-09:39:23;5
56;1;02.11.2010-14:56:13;5
56;2;02.11.2010-15:39:05;5
56;3;30.11.2010-10:40:55;4
57;0;16.11.2012-15:49:30;0
57;6;16.11.2012-15:49:51;0
57;7;28.11.2012-13:50:07;1
57;2;17.12.2012-09:55:05;1
57;3;01.01.2013-09:55:26;2
58;0;28.03.2012-12:28:37;0
58;1;28.03.2012-12:28:47;0
58;2;28.03.2012-15:32:57;0
58;2;28.03.2012-15:32:57;0
58;3;28.04.2012-12:30:17;4
59;0;06.04.2011-15:35:49;12
59;1;06.04.2011-15:36:04;12
59;5;07.04.2011-15:41:23;12
59;1;13.04.2011-08:49:14;1
59;2;13.04.2011-08:49:22;1
59;3;28.05.2011-08:50:26;4
60;0;16.09.2011-07:04:39;0
60;1;16.09.2011-07:18:12;9
60;2;16.09.2011-15:04:46;9
60;3;10.11.2011-08:10:45;4
61;0;28.05.2012-15:16:47;3
61;2;28.05.2012-15:18:27;3
61;3;26.07.2012-15:20:39;4
62;0;06.03.2013-15:05:09;3
62;1;22.03.2013-08:58:01;8
62;2;22.03.2013-09:34:16;8
62;3;06.04.2013-08:34:35;2
63;0;14.04.2011-15:54:28;12
63;0;14.04.2011-15:54:46;12
63;5;15.04.2011-10:41:19;10
63;1;27.04.2011-10:30:04;1
63;5;27.04.2011-10:30:13;1
63;1;06.05.2011-09:42:13;10
63;2;06.05.2011-09:42:28;10
63;3;21.05.2011-09:42:52;4
64;0;13.02.2013-13:41:45;3
64;1;01.03.2013-09:23:38;1
64;5;01.03.2013-10:14:20;1
64;2;01.03.2013-16:01:20;1
64;3;16.03.2013-16:01:36;2
65;0;26.06.2012-08:46:53;1
65;1;26.06.2012-08:47:39;12
65;2;26.06.2012-13:05:58;12
65;3;24.08.2012-15:42:30;1
66;0;30.12.2010-15:03:15;12
66;1;11.01.2011-08:40:08;1
66;2;13.01.2011-11:45:18;1
66;3;12.02.2011-15:10:46;4
67;0;11.04.2012-14:09:22;3
67;1;11.04.2012-14:09:45;3
67;2;12.04.2012-10:31:37;12
67;3;12.05.2012-14:10:23;4
68;0;05.04.2013-08:30:22;0
68;1;30.04.2013-13:27:21;1
68;2;30.04.2013-13:32:43;8
68;3;15.05.2013-13:32:57;2
69;0;07.06.2011-07:34:53;7
69;1;07.06.2011-07:35:14;7
69;5;08.07.2011-08:44:58;1
69;2;12.07.2011-07:00:36;1
69;3;27.07.2011-07:01:03;4
70;0;02.11.2011-08:20:14;3
70;1;02.11.2011-08:20:41;3
70;2;02.11.2011-09:49:41;3
70;3;07.12.2011-08:30:27;4
71;0;25.01.2011-13:15:31;7
71;1;25.01.2011-13:15:58;7
71;2;14.02.2011-11:48:42;14
71;3;01.03.2011-11:48:59;4
72;0;31.07.2012-11:01:15;0
72;2;31.07.2012-11:02:02;0
72;3;07.09.2012-11:00:40;4
73;2;10.02.2012-11:42:26;12
73;3;10.04.2012-09:32:49;1
74;0;11.03.2010-15:15:54;1
74;0;23.04.2010-07:44:51;1
74;1;23.04.2010-07:44:59;1
74;2;23.04.2010-07:45:04;1
74;3;08.05.2010-07:45:21;4
75;0;10.01.2012-15:01:36;0
75;2;10.01.2012-15:58:08;0
75;3;25.02.2012-15:10:39;4
76;0;25.09.2013-13:32:38;13
76;1;25.09.2013-13:33:02;13
76;5;25.09.2013-14:29:45;13
76;2;21.10.2013-15:09:58;13
76;3;05.11.2013-16:10:14;2
77;0;08.11.2011-09:18:10;5
77;1;08.11.2011-09:22:35;5
77;2;05.12.2011-16:33:12;5
77;3;20.12.2011-16:33:29;4
78;0;03.10.2013-07:22:55;13
78;1;04.10.2013-09:08:21;1
78;5;07.10.2013-13:20:44;1
78;5;09.10.2013-07:36:41;1
78;2;08.11.2013-09:26:35;1
78;3;23.11.2013-09:26:49;2
79;0;02.08.2012-09:22:58;12
79;1;03.08.2012-12:12:15;12
79;2;10.08.2012-10:13:48;12
79;3;09.09.2012-10:14:13;4
80;0;09.02.2010-08:31:47;15
80;1;09.02.2010-08:35:12;15
80;5;09.02.2010-08:35:26;15
80;5;09.02.2010-08:36:27;1
80;1;19.02.2010-08:31:40;10
80;2;19.02.2010-08:32:00;10
80;3;09.04.2010-07:40:43;4
81;0;31.10.2013-14:55:24;8
81;1;31.10.2013-15:04:25;8
81;5;05.11.2013-14:35:43;8
81;2;19.11.2013-16:09:52;8
81;3;04.12.2013-16:10:09;2
82;0;16.07.2013-14:19:52;0
82;1;23.07.2013-08:59:56;0
82;5;24.07.2013-08:11:00;0
82;2;19.08.2013-15:22:57;0
82;3;03.09.2013-15:23:13;2
83;0;10.12.2010-09:15:54;13
83;1;10.12.2010-09:16:17;13
83;2;10.12.2010-09:16:34;13
83;3;12.01.2011-09:20:47;4
84;0;24.02.2011-17:01:50;7
84;1;24.02.2011-17:03:45;7
84;2;04.03.2011-10:02:13;8
84;3;09.04.2011-16:00:27;4
